분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
보건·의료,2024년 상반기 반일제 무기계약직(장애인 제한경쟁) 채용,서울대학교치과병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 6 개월,"<공급, 세척 및 멸균 및 진료재료 관리 직무>","수술기구 세척 및 포장, 공급 업무, 진료재료 관리 및 배송, 재고자산의 취득, 검수, 입고, 출고 관리",,,"(03080) 서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)","주 5일 근무, 09:00 ~ 18:00 중 협의하여 4시간 근무",반일제,,,"월급 1,424,000원 이상 ~ 1,424,000원 이하",,,,,02-6256-3492,,~ 2024-07-17,"방문, 우편, 이메일",,,"['지체장애(경증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(중증)']",그 외 기타 보건업,583 명,이용무,기타,"03080 서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)"
보건·의료,요양병원 시설관리 직원 (시설관리 및 이송지원 업무) 구인합니다.,청담요양병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),시설관리 및 환자 이송업무,요양병원 원내 시설관리 및 치료실 환자 이송업무,,,"인천광역시 서구 열우물로 235, 2~5층 (가좌동)","주 5일, 스케줄제로 운영",교대근무,,,"월급 2,060,000원 이상",,,,,032-324-8255,,~ 2024-07-31,"팩스, 워크넷",,http://www.wooricarehosp.com/,"['지체장애(경증)', '뇌병변장애(경증)', '안면장애(경증)']","['정신장애', '해리성장애']",요양 병원,90 명,선경윤,,"22825 인천광역시 서구 열우물로 235, 2~5층 (가좌동)"
교육·법률·사회복지·경찰·소방 및 군인,서울재활병원 서울특별시북부 지역장애인보건의료센터 직원(사회복지사) 모집,서울재활병원,경력,대졸(2~3년),,,,장애인만 채용,국가유공자 및 보훈대상자 우대,계약직,사회복지사,"지역장애인 건강관련 사례관리, 외부기관과의 협력 및 기획사업, 기타 장애인 건강지원사업",사원급,,서울 은평구,,,,,회사 내규에 따름 (면접 시 협의),,,,,,,,,서류전형 > 면접 > 최종합격,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['정신장애', '언어장애(중증)']",,,,,서울 은평구
경영·사무·금융·보험,[2차]연천군수어통역센터 청각장애인통역사 채용공고,연천군수어통역센터,신입,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약 24 개월 / 계약기간 만료 후 상용직 전환 검토,청각장애인통역사,중계통역 및 사무행정,,,"경기도 연천군 전곡읍 선사로 447, 1층, 연천군수어통역센터","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분, 평균 근무시간: 40시간",,,24개월,"월급 2,140,300원 이상 ~ 2,534,500원 이하, 상여금: 120% (미 포함)",,,,,031-834-5030,,~ 2024-07-25,"워크넷, 이메일",서류전형 → 면접,,"['청각장애(경증)', '청각장애(중증)']","['지체장애(경증)', '지체장애(중증)', '시각장애(경증)', '시각장애(중증)', '언어장애(경증)', '언어장애(중증)']",그 외 기타 비거주 복지 서비스업,4 명,박미영,,"11030 경기도 연천군 전곡읍 선사로 447, 1층, 연천군수어통역센터"
교육·법률·사회복지·경찰·소방 및 군인,강릉장애인자립생활센터에서 동료상담가(장애인)를 공개채용 합니다.,강릉장애인자립생활센터,관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 없는 근로계약,동료상담가,장애인들이 동료상담 프로그램 및 자립생활기술훈련을 통해 역량강화 및 인식개선을 하고 지역사회에 살아가도록 연계하는 업무,,,"(25534) 강원도 강릉시 임영로131번길 12, KT사옥 1층 (용강동)","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",정규직,,,"월급 2,140,300원 이상, 상여금 : 120% (미 포함)",,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,033-655-0157,,~ 20240723,"방문, 우편, 이메일",,,"['지체장애(경증)', '뇌병변장애(경증)']","['청각장애(중증)', '정신장애']",사회복지 서비스업,12 명,장인선,기타,"25534 강원특별자치도 강릉시 임영로131번길 12 (용강동, KT서강릉사옥 1층)"
미용·여행·숙박·음식·경비·돌봄·청소,바리스타 직원 모집 - 복지카드 소지자 모집,오씨아이드림 주식회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 12 개월,바리스타,커피 및 음료 제조,,,"(04532) 서울특별시 중구 소공로 94, 2층 (소공동)","주 5일, (오후) 3시 00분 ~ (오후) 7시 30분",,,계약기간 만료 후 상용직 전환 검토,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실",,02-721-9513,wjju@ocidream.co.kr,~ 채용시까지,워크넷,,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '청각장애(중증)', '언어장애(중증)', '안면장애(중증)', '정신장애']",상용 인력 공급 및 인사관리 서비스업,66 명,이지현,대기업,"04532 서울특별시 중구 소공로 94, 2층 (소공동)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 남양주삼패점] 주차 관리원 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3 개월 / 계약기간 만료 후 상용직 전환 검토,차량신호수,사업장 외부 차량신호수 업무,,,(12245) 경기도 남양주시 삼패동 경강로 384 (삼패동),"주 5일, 월-금, (정오) 12시 00분 ~ (오후) 4시 30분, 휴게 30분",주 20시간 근무,,,"월급 1,035,300원 이상",,외부에서 근무하는 업무,,,010-9942-8638,,~ 채용 시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '지체장애(중증)', '청각장애(경증)', '청각장애(중증)']",['정신장애'],상용 인력 공급 및 인사관리 서비스업,27 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
영업·판매·운전·운송,지게차 운전원 모집,사단법인 장애인고용진흥회 파주사업소,경력 (최소 3년) 우대,학력무관,,,,장애인만 채용,경력자 우대,기간의 정함이 없는 근로계약,지게차 운전원,"지게차(파레트 지게차, 찝게 지게차) 운전 및 생산 보조",,,경기도 파주시,"주 5일, (오전) 9시 00분 ~ (오후) 6시 00분",정규직,,,"월급 2,100,000원 이상, 면접 후 재조정 가능",,,,,031-945-7678,,~ 2024-07-15,워크넷,,https://www.ablejob.co.kr/recruit/janggojin.com,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",그 외 기타 종이 및 판지 제품 제조업,12 명,임선귀,,10882 경기도 파주시 산남로157번길 30 (산남동)
교육·법률·사회복지·경찰·소방 및 군인,[장애인 모집] 한국장애인복지실천회 사회복지사 직원 모집,(사)한국장애인복지실천회,관계없음,대졸(2~3년)-박사,,,,장애인만 채용,"사회복지시설 근무 경험자, 상담 및 응대 가능자(커뮤니케이션 능통자)",기간의 정함이 있는 근로계약 3개월 / 계약기간 만료 후 상용직 전환 검토,사회복지사,"법인 및 활동지원센터 사무 업무 보조, 응대 업무 및 상담 업무",,,"서울특별시 영등포구 대방천로 170, 401호 (신길동)",평일 : (오전) 9시 00분 ~ (오후) 6시 00분 / (1번과 2번 중 택 일),주 5일 근무,,,"시급 9,860원 이상",,,,,02-836-5500,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['청각장애(중증)', '언어장애(중증)']",보건 및 복지 행정,6 명,정창선,,"07436 서울특별시 영등포구 대방천로 170, 401호 (신길동)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 방화DT점] 평일(일 4시간) 차량신호수 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약(시간(선택)제) 3 개월 / 계약기간 만료 후 상용직 전환 검토,차량신호수,스타벅스 방화DT점에서 차량신호 업무,,,"(07517) 서울특별시 강서구 방화동 방화대로 375, 스타벅스 방화DT","주 5일, (오전) 11시 30분 ~ (오후) 4시 00분",정규 근무(시간제),,3개월 후 상용직 전환 검토,"월급 1,035,300원 이상 (장애인 경증 +30만, 중증 +40만 추가지급)",,,,,02-828-3881,,~ 채용시까지,워크넷 지원 및 이메일 이력서 송부,서류 합격 후 면접,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']","['시각장애(중증)', '언어장애(중증)']",상용 인력 공급 및 인사관리 서비스업,30 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
미용·여행·숙박·음식·경비·돌봄·청소,[중앙그룹 커넥트중앙] 헬스키퍼(안마사) 채용(오전타임),"커넥트중앙주식회사(ConnectJoongangCo.,Ltd)",경력 (최소1년) 우대,학력무관,,,,장애인만 채용,"중증장애인, 유관업무 경력자",계약직 1년,헬스키퍼(안마사),"중앙그룹 임직원 대상 안마 서비스(1일 최대 4명 안마, 30분 안마 후 30분 휴식)",,,서울시 마포구 상암산로 48-6 (중앙일보빌딩),주5일 (월~금) / 오전 (09:30~13:30),시간제,"기타(경조사 지원, 명절선물, 단체상해보험, 유니폼 등)",,"월급 1,950,000원 이상 ~ 1,950,000원 이하",1년 (근무 평가에 따라 계약기간 연장 가능),,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,,,~ 채용시까지,"워크넷, 이메일",,https://www.joonganggroup.com/,"['시각장애(경증)', '시각장애(중증)']","['지체장애(중증)', '청각장애(경증)']",경영 컨설팅업,37 명,류영호,중견기업,"03908 서울특별시 마포구 월드컵북로 375, 2907호 (상암동, DMC 이안상암1단지)"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,장애인 사원 모집,월성전자(주),관계없음,학력무관,,,,장애인만 채용,"초보자 가능, 경력자 우대 (동종업체 실무 경력 1년 이상)",기간의 정함이 없는 근로계약,제조 (품질/출하/최종검사/인쇄),"PCB 생산부서 직원 모집, 최종검사, 출하",,,"(22774) 인천광역시 서구 건지로153번길 46-13, 월성전자 (석남동)","주 5일 근무,(2교대 운영) 주간: 08:30~20:30 / 야간: 20:30~08:30",2교대,,,"시급 9,860원 이상 ~ 10,000원 이하",,,,,032-579-6410,,~ 20240724,"팩스, 워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)']","['정신장애', '내부장애(중증)']",그 외 기타 전자부품 제조업,140 명,김규형,중소기업,"22774 인천광역시 서구 건지로153번길 46-13, 월성전자 (석남동)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,[장애인만 채용] 주식회사금하테크 생산직 채용 (5명),주식회사금하테크,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),"장갑 제조 및 포장, 사무보조",,,,"(58325) 전라남도 나주시 그린로 357, 스카이랜드 6층 (빛가람동)","주 5일 근무, 1일 9:00 ~ 12시(3시간), 9:00~14시(4시간, 점심시간 1시간 포함), 13:30 ~18시(4시간, 휴게시간 30분 포함), 근무시간 협의 가능",,,,"시급 9,860원 이상",,,"장애인용 주차장, 건물 내부 경사로, 장애인용 화장실",,061-930-2000,,~ 채용시까지,"방문, 워크넷",,,"['지체장애(경증)', '뇌병변장애(경증)', '내부장애(경증)']","['청각장애(중증)', '정신장애']",교통 신호장치 제조업,31 명,한청우,중소기업,"58325 전라남도 나주시 그린로 357, 스카이랜드 6층 (빛가람동)"
경영·사무·금융·보험,[장애인 채용 / 재택근무] 자료 조사 업무 8명 모집,에스씨케이(주),경력 (최소1년) 우대,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제) 12 개월,자료 조사 업무,"포털(네이버, 다음), SNS 상에 노출된 기사 및 관련 내용 모니터링",,,"(04797) 서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)","주 5일, (오전) 9시 00분 ~ (오후) 1시 30분",재택근무,,12개월 계약 후 상용직 전환검토,"월급 1,035,300원",,,,,02-2008-7239,,~ 2024-07-24,워크넷,,http://www.b-sck.com/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '청각장애(중증)', '언어장애(중증)', '정신장애']",온라인 활용 마케팅 및 관련 사업지원 서비스업,1200 명,이남수,중소기업,"04797 서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)"
경영·사무·금융·보험,[장애인만 채용 / 4시간] 데이터 입력 및 관리원 1명 모집,에스씨케이(주),경력 (최소 1년) 우대,학력무관,,,,장애인만 채용,경력 (최소 1년) 우대,"기간의 정함이 있는 근로계약(시간(선택)제)12 개월, 계약기간 만료 후 상용직 전환 검토",데이터 입력 및 관리,"교육, HR 관련 데이터 입력",,,"서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)","주 5일 (월~금), 오전 9시 00분 ~ 오후 1시 30분 (휴게시간 30분 포함)","일 4시간, 주 20시간",,1년 단위로 계약,"월급 1,035,300원 이상 ~ 1,035,300원 이하, 면접 후 재조정 가능",,,,,02-2008-7239,,~ 2024-07-24,워크넷,,http://www.b-sck.com/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '청각장애(중증)', '언어장애(중증)']",온라인 활용 마케팅 및 관련 사업지원 서비스업,1200 명,이남수,중소기업,"04797 서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)"
경영·사무·금융·보험,[장애인만 채용 / 8시간 근무] 인사관리 및 행정사무보조원 채용,에스씨케이(주),경력 (최소 1년) 우대,학력무관,,,,장애인만 채용,경력 (최소 1년) 우대,기간의 정함이 있는 근로계약(시간(선택)제) 12 개월,인사관리 및 행정사무보조,"직원 급여 정산(월 1회), 월별 세금계산서 청구내역서 발송, 직원 업무일지 및 근태관리, 재택근무 직원 관리 보조 등",,,"서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)",주 5일 (오전 9시 00분 ~ 오후 6시 00분),시간(선택)제,중식 제공,12 개월 후 상용직 전환 검토,"월급 2,060,740원 이상 ~ 2,060,740원 이하, 면접 후 재조정 가능",,,,,02-2008-7239,,~ 2024-07-24,워크넷,,http://www.b-sck.com/,"['지체장애(경증)', '청각장애(경증)', '정신장애']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",온라인 활용 마케팅 및 관련 사업지원 서비스업,1200 명,이남수,중소기업,"04797 서울특별시 성동구 아차산로11길 18, 6층 608호 (성수동2가, 쁘랭땅빌딩)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인 우선채용] 학교 야간 당직경비원 모집,주식회사 제일안전,관계없음,학력무관,,,,장애인만 채용,복지카드 우대,기간의 정함이 있는 근로계약,야간 당직경비원,학교 내 안전 관리 및 경비 업무,,,(21368) 인천광역시 부평구 원적로 245 (산곡동),"평일 : 오후 4시30분~익일 오전 8시30분, 주 7일 근무","주 7일 근무, 평균 근무시간 : 40시간",,입사일~2024.12.31,"월급 1,881,500원 이상",,,,,032-435-1621,,~ 채용시까지,"방문, 기타(채용담당자 유선연락 후 면접)",,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '정신장애']",경비 및 경호 서비스업,36 명,이현주,중소기업,"22240 인천광역시 미추홀구 경원대로728번길 42, 1층 (관교동)"
설치·정비·생산·전기·전자·정보통신,생산직,사단법인해오름장애인협회,관계없음,학력무관,,,,장애인만 채용,복지카드 필수 (중증만 채용),기간의 정함이 있는 근로계약(시간(선택)제) 3개월/ 계약기간 만료 후 상용직전환검토,생산직,방송장비 및 CCTV 제조 생산,,,"(02055) 서울특별시 중랑구 신내역로3길 40-36 (신내동, 신내데시앙플렉스)","주 5일, (근무시간) 오전 9시 00분 ~ 오후 12시 00분 (3시간) - 2명, (근무시간) 오후 2시 00분 ~ 오후 5시 00분 (3시간) - 2명",파트타임,,3개월,"월급 779,000원 이상 ~ 780,000원 이하",,,장애인용 승강기,서울북부고용센터,02-2171-1894,,~ 20240731,"워크넷, 이메일",,http://www.horapd.com/,"['지체장애(중증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)']",기타 무선 통신장비 제조업,50 명,노영주,기타,"02055 서울특별시 중랑구 신내역로3길 40-36 (신내동, 신내데시앙플렉스)"
연구 및 공학기술,(주)티아이티이엔지 기술연구소 연구원 채용의 건 (장애인 지원요망),주)티아이티이엔지,관계없음,대졸(4년)-박사,,,,장애인만 채용,"경증 장애인 우선 채용, 출퇴근 가능자 우대",기간의 정함이 있는 근로계약 12 개월 / 계약기간 만료 후 상용직 전환 검토,"기술연구소 메카설계, 펌웨어설계, 하드웨어설계",기술연구소 연구원,,,"(05702) 서울특별시 송파구 중대로 215, 신도빌딩 5층, 6층, 7층 (가락동, 신도빌딩 5층, 6층, 7층)","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무, 평균근무시간 : 40시간",,"4대 보험 가입, 연차, 직장인 검진 실시, 질병/상해보험, 상여금, 10년 근속 포상 (금20돈), 중식비 (월 20만원)",1년 계약 후 정규직 전환 가능,"연봉 36,000,000원 이상 ~ 60,000,000원 이하, 면접 후 재조정 가능",12개월,,,,02-3431-2370,saidaone@titeng.co.kr,~ 2024년 7월 19일,자유양식 이력서 및 자기소개서 / 이메일,서류전형 -> 채용면접 -> 최종합격자 선발,https://www.ablejob.co.kr/recruit/www.titeng.co.kr,"['지체장애(경증)', '뇌병변장애(경증)']","['정신장애', '언어장애(중증)']",사무용 기계 및 장비 제조업,103 명,김주연,중소기업,"05702 서울특별시 송파구 중대로 215 (가락동, 신도빌딩 5층, 6층, 7층)"
영업·판매·운전·운송,(장애인만채용)기흥점 물류 직원 채용,이케아코리아 유한회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),물류작업,"이케아 기흥점 내 풀서브(창고형매장)에서 제품픽킹, 포장 등 수행",,,"(17086) 경기도 용인시 기흥구 신고매로 62, (고매동)","주 4일 근무, 05:00~22:00 내 8시간 근무, 주말 근무 가능",,,,"시급11,400원 이상 ~ 11,400원 이하",,,,,,,~ 20240909,워크넷,,http://ikea.kr/jobs,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)']",가구 소매업,1600 명,ISABEL PUIG PALERM(이사벨푸치팔렘),중소기업,14352 경기도 광명시 일직로 17 (일직동)
보건·의료,서울대학교치과병원 기간제근무자(장애인제한경쟁-원무직) 채용,서울대학교치과병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 6개월,"<공급, 세척 및 멸균 및 진료재료 관리 직무>",#NAME?,,,"서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)","주 5일 근무, 09:00 ~ 18:00 중 협의하여 4시간 근무","반일제 근무 (오전: 09:00 ~ 14:00, 오후: 14:00 ~ 18:00)",,6개월,"월급 1,424,000원 이상 ~ 1,424,000원 이하",,,,,02-6256-3492,,~ 2024-07-17,"방문, 우편, 이메일",,,"['지체장애(경증)', '청각장애(경증)', '정신장애']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",그 외 기타 보건업,583 명,이용무,기타,"03080 서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)"
교육·법률·사회복지·경찰·소방 및 군인,발달장애인 주간/방과후 활동서비스 제공인력 모집,채움과 이룸,경력무관,대졸(4년),,,,장애인만 채용,발달장애인 주간활동 및 방과후활동 서비스 제공인력 경험자 우대,정규직,발달장애인 주간/방과후 활동서비스 제공,"주간 및 방과후활동 프로그램 수립, 운영 및 발달장애인 돌봄 가능자",,,경기 안산시,,,,,회사 내규에 따름 (면접 시 협의),,,,,,,,,서류전형 > 1차면접 > 최종합격 > 근무일 (24.08.05일)  서류전형 합격자 발표 - 7/22일 (월) 오후 5시 개별통보 면접전형 - 7/25(목) 오전 10시 부터 최종합격자 발표 - 7/26(금) 오전 10시 근무 시작일 - 8/05일 (월) 오전 9시 부터 근무,,"['지적장애', '자폐성장애']","['지체장애(중증)', '청각장애(중증)']",,,,,"경기 안산시 단원구 원포공원1로 64 (초지동, 키즈타워2)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 남양주삼패점] 주차 관리원 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3 개월/ 계약기간 만료 후 상용직 전환 검토,주차 관리원,스타벅스 남양주삼패점 차량신호수 업무,,,(12245) 경기도 남양주시 삼패동 경강로 384 (삼패동),"주 5일 근무, (정오) 12시 00분 ~ (오후) 4시 30분",(평일) 주 5일 근무,"장애인 경, 중에 따른 급여 추가 지급 - 경증 103.5만원 + 30만원 / 중증 103.5만원 + 40만원",,"월급 1,035,300원 이상",3개월,외부에서 근무하는 업무,,,010-9942-8638,,~ 채용시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)']",상용 인력 공급 및 인사관리 서비스업,30 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
미용·여행·숙박·음식·경비·돌봄·청소,아파트 내부미화원 채용,주식회사이데아그룹,관계없음,학력무관,,(준)고령자(50세이상),,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제)3 개월,아파트 내부 청소,하우스토리 만수 아파트 내부 청소,,,"(21539) 인천광역시 남동구 구월로372번길 90, .. (만수동, 하우스토리 만수)","주 6일 근무, 평일 08:00~15:30, 토요일(매주) 08:00~11:00",,,3 개월,"월급 1,799,450원 이상 ~ 1,799,450원 이하",,,,,,,~ 채용시까지,방문,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)', '정신장애']",경비 및 경호 서비스업,2300 명,이건희,,"14555 경기도 부천시 원미구 부천로198번길 27, 204호 (춘의동)"
경영·사무·금융·보험,한국승강기안전공단 기간제근로자(대체인력_공단본부 행정),한국승강기안전공단,관계없음,학력무관,,"연령 제한 없음(단, 공단 정년(62세)에 도달한 자 제외)",,장애인만 채용,"장애인, 국가유공자, 의사상자, 한국사자격증, 저소득층, 다문화가족, 북한이탈주민",기간의 정함이 있는 근로계약 (5개월),공단본부 행정,"기획·전략·조직관리 지원, 부서 회계·서무 등",,,경상남도 진주시 소호로 102,"주 5일 근무, 9:00~18:00, 평균근무시간: 40시간",,,약 5개월 (2024.8.27.~2025.2.7),"연봉 30,964,230원 이상 ~ 30,964,230원 이하, 상여금 100%",,,,(유관기관-인재채움뱅크)(주)커리어넷_서울관악,02-6297-9522,iioioi@matchingbank.kr,24.7.27.(토)∼7.31.(수) 자정까지,이메일 접수,"서류전형 합격자 발표: 24.8.6.(화), 면접전형: 24.8.13.(화), 최종합격자 발표: 24.8.21.(수)",http://koelsa.or.kr/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '정신장애']",승강기 제조업,1742 명,이용표,기타,52851 경상남도 진주시 소호로 102 (충무공동)
경영·사무·금융·보험,고흥군수어통역센터 청각장애인통역사(농통역사)채용공고,고흥군수어통역센터,신입,학력무관,제한없음,,,장애인만 채용,수어통역사 자격증 또는 사회복지사 2급 이상 자격증 소지자,기간의 정함이 없는 근로계약,청각장애인 통역사,"수어통역, 회계, 운전, 사업 진행 등",,,전라남도 고흥군 고흥읍 봉황길 9,"평일 09:00 ~ 18:00, 주 5일 근무",주 40시간,4대 보험 가입,계약 입사일부터 1년 (수습기간 3개월),"월급 2,060,740원 이상 ~ 2,300,000원 이하, 상여금: 120%",,,,,061-833-2006,jndeaf1980@daum.net,2024.07.09.(화) ~ 2024.07.23.(화),"이메일, 방문 및 등기우편 제출","서류심사: 2024.07.24.(수), 면접대상자 발표: 2024.07.24.(수)",,"['청각장애(경증)', '청각장애(중증)']","['지적장애', '정신장애']",그 외 기타 비거주 복지 서비스업,3 명,정순옥,,59538 전라남도 고흥군 고흥읍 봉황길 9
미용·여행·숙박·음식·경비·돌봄·청소,아파트경비원모집(개봉3동),(주)경진이앤지,경력 (최소1년) 우대,학력무관,,(준)고령자(50세이상),,장애인만 채용,,기간의 정함이 있는 근로계약 5 개월 / 파견근로 희망,아파트 경비 업무,"경비 업무, 순찰 등 / 경비신임교육이수자 필수 / 복지카드소지자(경증) 필수",,,"(08354) 서울특별시 구로구 개봉로3길 87, 개봉3동 (개봉동, 개봉한진아파트)","주 4일 근무, (오전) 6시 00분 ~ (오전) 6시 00분",정상 근무,,,"월급 2,210,000원 이상",,,,,010-2245-1404,,~ 채용시까지,"방문, 기타(전화 후 방문)",,,"['지체장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)']",건축물 일반 청소업,100 명,안윤미,중소기업,"14240 경기도 광명시 오리로854번길 16-7 (철산동, 승화빌딩)"
경영·사무·금융·보험,장애인일자리사업 참여자 모집(시간제),사단법인대구사람장애인자립생활센터,관계없음,학력무관,,,,장애인만 채용,발달장애인 지원 경험이 있는 자,기간의 정함이 있는 근로계약(6개월),장애인 일자리 참여자 직무지도 및 프로그램 지원,"장애인 일상생활 보조 및 프로그램 지원, 사회복지서비스 사무 및 행정업무 지원/전화응대 및 상담 가능자",,,"대구광역시 중구 명덕로 99, 6층 (남산동)","주 5일 근무, 시간제 (오전) 9시 30분 ~ (오후) 14시 (휴게시간 30분), 평균근무시간: 20시간",시간제,,2024년 7월~12월(6개월),"월급 1,030,370원 이상 ~ 1,030,370원 이하",,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,070-4550-2271,,~ 2024-07-21,"방문, 워크넷",,https://www.ablejob.co.kr/recruit/saramcil.modoo.at,"['지체장애(경증)', '지적장애', '자폐성장애']","['청각장애(중증)', '언어장애(중증)']",사회복지 상담서비스 제공업,160 명,노금호,,"41977 대구광역시 중구 명덕로 99, 6층 (남산동)"
미용·여행·숙박·음식·경비·돌봄·청소,[JOYCITY] 헬스키퍼(시각장애인 안마사) 채용 (6개월 계약직),(주)조이시티,관계없음,학력무관,,,,장애인만 채용,"안마사 자격증 보유자, 관련 경력 보유자 우대",기간의 정함이 있는 근로계약 6개월,안마 서비스,임직원 대상 복지 차원 안마 서비스 제공,,,"경기도 성남시 분당구 분당로 55, 분당 퍼스트타워","주 5일 근무, 월~금, 15:00 ~ 19:00 (40분 안마/ 20분 휴식, 4타임)",일 4시간 근무,"설/추석 명절 10만원 백화점상품권 제공, 사내 카페테리아 음료 무료 제공, Mind Care 프로그램 지원",,"월급 2,000,000원 이상","6개월 (평가결과에 따라 연장 가능, 최대 2년)",,,,031-789-6504,,~ 채용시까지,이메일,,,"['시각장애(경증)', '시각장애(중증)']","['청각장애(경증)', '청각장애(중증)']",유선 온라인 게임 소프트웨어 개발 및 공급업,360 명,조성원,중견기업,"13591 경기도 성남시 분당구 분당로 55, 10층 (서현동, 분당 퍼스트타워)"
